Date,Emp ID,Emp Name,Project,Project Category,Login ID,Login Name,Team Lead Name,Chart ID,Page No,No of DOS,No of Codes,Error Type,Error Comments,No of Errors,Chart Status,Auditor Emp ID,Auditor Emp Name
2025-07-23,E1000,Coder 0,Health OS,Recheck,L2000,login_0,TL 0,C1,1,4,8,Type B,Comment A,1,In Progress,AE3000,Auditor 0
2025-07-22,E1001,Coder 1,Elevance MA,QA,L2001,login_1,TL 1,C2,4,3,3,Type B,Comment A,1,In Progress,AE3001,Auditor 1
2025-07-21,E1002,Coder 2,Health OS,Recheck,L2002,login_2,TL 2,C3,2,3,1,Type B,,0,Completed,AE3002,Auditor 2
2025-07-20,E1003,Coder 3,Health OS,Recheck,L2003,login_3,TL 0,C4,8,3,3,Type A,Comment B,1,In Progress,AE3003,Auditor 3
2025-07-19,E1004,Coder 4,Elevance MA,QA,L2004,login_4,TL 1,C5,4,1,5,Type B,,1,Completed,AE3004,Auditor 4
2025-07-18,E1005,Coder 5,Elevance MA,Recheck,L2005,login_0,TL 2,C6,2,4,15,Type A,,2,Completed,AE3000,Auditor 0
2025-07-17,E1006,Coder 6,Health OS,QA,L2006,login_1,TL 0,C7,6,3,14,Type A,Comment B,2,In Progress,AE3001,Auditor 1
2025-07-23,E1007,Coder 7,Elevance ACA,QA,L2007,login_2,TL 1,C8,6,3,3,Type B,Comment A,2,In Progress,AE3002,Auditor 2
2025-07-22,E1008,Coder 8,Health OS,Entry,L2008,login_3,TL 2,C9,4,1,1,Type B,Comment A,2,Completed,AE3003,Auditor 3
2025-07-21,E1009,Coder 9,Health OS,QA,L2009,login_4,TL 0,C10,6,3,5,Type B,Comment B,0,In Progress,AE3004,Auditor 4
2025-07-20,E1010,Coder 10,Health OS,Entry,L2010,login_0,TL 1,C11,2,1,14,None,Comment A,2,In Progress,AE3000,Auditor 0
2025-07-19,E1011,Coder 11,Health OS,QA,L2011,login_1,TL 2,C12,2,2,7,Type B,Comment B,1,Completed,AE3001,Auditor 1
2025-07-18,E1012,Coder 12,Elevance MA,QA,L2012,login_2,TL 0,C13,4,3,9,None,Comment B,0,Completed,AE3002,Auditor 2
2025-07-17,E1013,Coder 13,Health OS,Entry,L2013,login_3,TL 1,C14,8,2,15,Type A,,1,In Progress,AE3003,Auditor 3
2025-07-23,E1014,Coder 14,Elevance ACA,Entry,L2014,login_4,TL 2,C15,7,1,15,None,Comment B,1,Completed,AE3004,Auditor 4
2025-07-22,E1015,Coder 15,Elevance MA,QA,L2015,login_0,TL 0,C16,9,4,10,Type B,,1,Completed,AE3000,Auditor 0
2025-07-21,E1016,Coder 16,Elevance ACA,Recheck,L2016,login_1,TL 1,C17,8,3,13,Type A,Comment A,2,In Progress,AE3001,Auditor 1
2025-07-20,E1017,Coder 17,Elevance ACA,Entry,L2017,login_2,TL 2,C18,5,1,19,Type A,Comment A,2,Completed,AE3002,Auditor 2
2025-07-19,E1018,Coder 18,Elevance ACA,Recheck,L2018,login_3,TL 0,C19,2,4,7,Type A,Comment A,0,Completed,AE3003,Auditor 3
2025-07-18,E1019,Coder 19,Elevance ACA,Recheck,L2019,login_4,TL 1,C20,5,4,17,None,Comment A,0,In Progress,AE3004,Auditor 4
2025-07-17,E1020,Coder 20,Elevance MA,Recheck,L2020,login_0,TL 2,C21,8,2,4,Type B,,2,In Progress,AE3000,Auditor 0
2025-07-23,E1021,Coder 21,Elevance MA,Entry,L2021,login_1,TL 0,C22,9,1,5,Type A,Comment A,1,Completed,AE3001,Auditor 1
2025-07-22,E1022,Coder 22,Elevance ACA,Recheck,L2022,login_2,TL 1,C23,9,4,7,Type A,Comment B,0,Completed,AE3002,Auditor 2
2025-07-21,E1023,Coder 23,Elevance ACA,Entry,L2023,login_3,TL 2,C24,1,3,13,Type A,Comment B,2,In Progress,AE3003,Auditor 3
2025-07-20,E1024,Coder 24,Elevance MA,Recheck,L2024,login_4,TL 0,C25,9,3,15,None,Comment B,2,In Progress,AE3004,Auditor 4
2025-07-19,E1025,Coder 25,Elevance MA,QA,L2025,login_0,TL 1,C26,7,2,11,None,,2,In Progress,AE3000,Auditor 0
2025-07-18,E1026,Coder 26,Elevance MA,QA,L2026,login_1,TL 2,C27,9,4,4,Type B,Comment A,1,In Progress,AE3001,Auditor 1
2025-07-17,E1027,Coder 27,Health OS,Entry,L2027,login_2,TL 0,C28,8,1,13,None,Comment A,2,Completed,AE3002,Auditor 2
2025-07-23,E1028,Coder 28,Health OS,QA,L2028,login_3,TL 1,C29,1,3,7,Type A,Comment A,2,In Progress,AE3003,Auditor 3
2025-07-22,E1029,Coder 29,Health OS,QA,L2029,login_4,TL 2,C30,8,4,19,Type B,,2,In Progress,AE3004,Auditor 4
